ano;id_categoria;id_sexo_condutor;id_faixa_etaria;is_media_valor;expostos;premio_medio_valor;freq_sinistro;indice_sinistralidade_perc;freq_incendio_e_roubo_perc;freq_incendio_e_roubo;indeniz_incendio_e_roubo_valor;freq_colisao;indeniz_colisao_valor;freq_outras;indeniz_outras_valor
2019;3;1;1;9210;14218;710;1888;13.28;2.3;289;2402724;670;2451107;929;220039
2019;3;1;2;9713;41201;655;5795;14.7;1.92;792;7143292;1451;5397303;3552;820221
2019;3;1;3;10756;36358;651;5051;13.89;1.69;614;5437708;1206;5384271;3231;693023
2019;3;1;4;12034;16499;670;2501;15.16;1.45;240;2269556;518;2604991;1743;398484
2019;3;1;5;14156;4525;741;865;19.12;1.55;70;648470;147;1060355;648;174444
2019;3;2;1;12023;39946;963;6850;NULL;NULL;1599;14060059;2283;11697013;2968;686747
2019;3;2;2;14691;120123;938;17071;NULL;NULL;3759;37348393;3635;25697657;9677;2208471
2019;3;2;3;17989;148717;973;21608;NULL;NULL;3515;41756346;3955;37773724;14138;3466404
2019;3;2;4;21451;107809;1039;13890;NULL;NULL;1654;23279572;2439;28528248;9797;2064769
2019;3;2;5;24614;72520;1113;10038;13.84;1.4;754;12673300;1603;25749860;7681;1652885
2019;2;1;1;43472;4320;2120;1305;30.21;NULL;28;963529;244;3350562;1033;657979
2019;2;1;2;54737;39437;1905;13683;34.7;NULL;309;13321939;2352;41202316;11022;9618514
2019;2;1;3;62551;70578;1906;23740;33.64;NULL;392;16974866;4254;74344961;19094;18403161
2019;2;1;4;62761;56203;1912;18761;33.38;NULL;256;11667111;3276;57621449;15229;13092618
2019;2;1;5;58262;67262;1767;26334;39.15;NULL;237;10914656;4227;70914989;21870;13713625
2019;2;2;1;51886;5702;2650;1643;28.81;NULL;51;1712480;438;11888165;1154;1944946
2019;2;2;2;61909;51140;2348;19232;37.61;1.3;526;23680634;3523;88350782;15183;21747234
2019;2;2;3;71039;90861;2283;32396;35.65;NULL;816;40060639;6149;142966311;25431;29178379
2019;2;2;4;73229;74514;2264;23520;31.56;NULL;491;23176484;4639;98570382;18390;21665482
2019;2;2;5;70665;121599;2106;39517;32.5;NULL;493;25237832;7347;141945675;31677;32167802
2019;1;1;1;34083;122496;1435;39306;32.9;NULL;705;17530634;9744;71296534;28857;17812725
2019;1;1;2;37060;995682;1235;370631;NULL;NULL;6376;181214412;65851;475300041;298404;173253566
2019;1;1;3;38387;1378829;1184;486102;NULL;NULL;8862;262582507;88517;644072066;388723;199557296
2019;1;1;4;38260;1090651;1169;381852;NULL;NULL;5931;176312840;69899;513679521;306022;141856371
2019;1;1;5;37734;1319704;1097;506977;NULL;NULL;5573;164384563;85410;607852456;415994;157133526
2019;1;2;1;34161;130094;1583;42057;NULL;NULL;1253;30304642;11282;101250096;29522;21350463
2019;1;2;2;37602;892126;1378;357370;NULL;NULL;8705;248040642;64024;539058464;284641;225155667
2019;1;2;3;38734;1213787;1281;442730;NULL;NULL;10524;315471652;82734;691659566;349472;234819312
2019;1;2;4;38338;1104808;1227;352460;NULL;NULL;6992;212800067;71055;577940797;274413;166396746
2019;1;2;5;37743;1956523;1129;609175;NULL;NULL;8934;279559333;118257;933300000;481984;243518427
2019;4;1;1;71225;6909;2883;2292;33.17;NULL;53;2594040;659;9953754;1580;1496263
2019;4;1;2;80960;120951;2344;38029;31.44;NULL;843;52997972;8778;130502691;28408;25212461
2019;4;1;3;83621;290474;2222;98292;NULL;NULL;1789;121059728;19917;305666550;76586;63807234
2019;4;1;4;81889;242974;2158;81122;NULL;NULL;1278;82433469;16361;231479756;63483;46202559
2019;4;1;5;78706;235424;2019;82342;NULL;NULL;1009;61517658;16989;226512472;64344;40971432
2019;4;2;1;58363;11312;2566;3421;30.24;1.18;133;6674635;1097;17540364;2191;2973135
2019;4;2;2;74277;140169;2439;51176;NULL;NULL;1668;98129353;12282;214271128;37226;42454747
2019;4;2;3;81161;326937;2368;119597;NULL;NULL;3168;199603645;26036;441943612;90393;94082088
2019;4;2;4;80169;367293;2247;111004;NULL;NULL;2682;175843313;26296;418230048;82026;75242356
2019;4;2;5;77131;634553;2038;177537;NULL;NULL;3576;234525252;44027;652025059;129934;110060547
2019;5;1;1;71407;0;3598;81;NULL;NULL;4;302721;73;607476;4;44444
2019;5;1;2;123603;2;2417;531;NULL;NULL;34;1714059;484;5557967;13;198919
2019;5;1;3;66332;19;1847;902;4747.37;331.58;63;3303814;811;9656329;28;409675
2019;5;1;4;75347;23;1928;702;3052.17;165.22;38;1890302;639;7689292;25;798968
2019;5;1;5;70250;15;1942;440;2933.33;NULL;15;620859;410;5086524;15;68319
2019;5;2;2;92825;2;2156;2;NULL;NULL;1;109025;1;4825;0;0
2019;5;2;3;91423;22;2317;8;36.36;NULL;0;0;3;78052;5;2934
2019;5;2;4;57931;24;1670;3;12.5;NULL;0;0;0;0;3;2004
2019;5;2;5;67626;23;1845;9;39.13;NULL;0;0;0;0;9;1859
2018;3;1;1;8500;12640;697;2682;21.22;1.76;222;1798013;612;1919367;1848;225978
2018;3;1;2;8996;36098;663;8113;22.47;2.3;732;6256343;1160;3872511;6221;821254
2018;3;1;3;10012;28601;670;6745;23.58;1.96;562;5305476;876;3275364;5307;699613
2018;3;1;4;11470;12826;712;3216;25.7;1.82;234;2143406;345;1754297;2637;338175
2018;3;1;5;13789;3343;780;1067;31.92;1.44;48;529827;97;732524;922;127132
2018;3;2;1;11234;28287;992;8672;NULL;NULL;1183;11186218;1624;7180952;5865;678969
2018;3;2;2;13959;95434;989;24308;NULL;NULL;3041;32938982;2730;18323365;18537;2325234
2018;3;2;3;17483;115659;1040;30012;NULL;NULL;2842;36525912;2835;26049060;24335;3539699
2018;3;2;4;20930;88040;1116;20932;NULL;NULL;1671;23841541;1898;21531711;17363;2346526
2018;3;2;5;24151;58191;1182;14626;25.13;1.25;729;12736689;1232;20021324;12665;1693809
2018;2;1;1;40737;5325;2127;1395;26.2;NULL;28;1150855;359;4805623;1008;849328
2018;2;1;2;49284;49064;1898;15254;31.9;NULL;425;17691517;3054;46372890;11775;11621438
2018;2;1;3;55909;78313;1911;23717;30.28;NULL;555;25223518;4540;73465177;18622;16435280
2018;2;1;4;56137;63542;1927;20037;31.53;NULL;360;16250524;3755;61924444;15922;11724349
2018;2;1;5;52579;73364;1795;26476;36.9;NULL;325;14568925;4254;66799985;21897;11808802
2018;2;2;1;47522;5971;2735;1924;32.22;1.21;72;2944418;512;11756221;1340;2527794
2018;2;2;2;55094;60098;2321;19716;32.81;1.1;659;30811202;4021;86406599;15036;19744879
2018;2;2;3;62202;97399;2271;30815;31.64;NULL;959;47659713;5862;129361139;23994;26777259
2018;2;2;4;64585;81036;2257;22949;28.32;NULL;560;27567696;4474;89292956;17915;18046070
2018;2;2;5;63914;130541;2128;39118;29.97;NULL;636;32508260;7122;137024370;31360;23573116
2018;1;1;1;32034;127909;1428;40474;31.64;NULL;846;22046639;10211;69974210;29417;15376297
2018;1;1;2;34564;1083616;1227;362163;NULL;NULL;8201;227971475;68940;467472101;285022;162790548
2018;1;1;3;35644;1386323;1191;449264;NULL;NULL;10726;306245076;85254;590147110;353284;171613327
2018;1;1;4;35570;1120532;1185;368528;NULL;NULL;7796;226285557;69816;482660451;290916;131868908
2018;1;1;5;35068;1292368;1115;474378;NULL;NULL;7133;207394936;77950;518493943;389295;138968692
2018;1;2;1;31529;123411;1559;40637;NULL;NULL;1296;32350200;10594;83204029;28747;19983723
2018;1;2;2;34702;934959;1356;337809;NULL;NULL;9402;268529690;62598;486473193;265809;199684452
2018;1;2;3;35405;1207478;1272;394374;NULL;NULL;11159;333445686;75195;578895047;308020;191374240
2018;1;2;4;35321;1136932;1233;335299;NULL;NULL;8519;257519211;66918;502642576;259862;148602362
2018;1;2;5;35052;1944625;1144;577494;NULL;NULL;11280;345492643;107110;786397535;459104;225037055
2018;4;1;1;65062;5538;3028;1933;34.9;NULL;49;2726130;411;6184556;1473;1134954
2018;4;1;2;73662;109750;2401;32615;29.72;NULL;859;51352992;7201;109092584;24555;20374082
2018;4;1;3;76018;250801;2313;79369;NULL;NULL;1773;109944847;15525;225406951;62071;41556012
2018;4;1;4;74597;211089;2261;67844;NULL;NULL;1495;94324308;13350;189031212;52999;34222319
2018;4;1;5;71868;194169;2130;64002;NULL;NULL;1192;75583186;12560;169909947;50250;29196127
2018;4;2;1;50081;8831;2623;2750;31.14;1.2;90;4094924;825;11442365;1835;2110749
2018;4;2;2;64199;126814;2462;47538;NULL;NULL;1693;96117104;10568;166698160;35277;35841179
2018;4;2;3;69730;289021;2426;94885;NULL;NULL;3250;208464368;20420;327243645;71215;61691108
2018;4;2;4;70213;335694;2327;96685;NULL;NULL;3067;200042600;22277;337605611;71341;58678612
2018;4;2;5;68251;554371;2122;148696;NULL;NULL;3971;258743052;35629;495693951;109096;86332312
2018;5;1;1;63246;6;2664;8;133.33;NULL;0;0;8;114785;0;0
2018;5;1;2;57052;367;1437;89;24.25;NULL;11;487104;73;1226528;5;25901
2018;5;1;3;63195;688;1483;147;21.37;1.89;13;901202;120;1798510;14;245297
2018;5;1;4;65475;476;1547;101;21.22;1.47;7;584663;92;1080334;2;4940
2018;5;1;5;64790;413;1467;62;15.1;NULL;1;27058;54;576170;7;2560
2018;5;2;1;70496;8;3245;0;NULL;NULL;0;0;0;0;0;0
2018;5;2;2;62935;433;1849;3;NULL;NULL;2;91695;1;10468;0;0
2018;5;2;3;66669;822;1760;5;NULL;NULL;2;115522;2;22433;1;396
2018;5;2;4;73369;670;1885;13;1.94;NULL;1;76742;3;47037;9;58867
2018;5;2;5;75490;789;1816;11;1.39;NULL;0;0;2;7661;9;4100
2017;3;1;1;7992;12140;666;2720;22.41;2.1;255;2081233;567;1626275;1898;229614
2017;3;1;2;8476;32942;646;7608;23.1;2.13;703;5823917;1068;3250739;5837;678952
2017;3;1;3;9543;23245;671;5781;24.87;1.89;439;3960648;778;3190077;4564;490325
2017;3;1;4;11088;10105;723;2825;27.96;1.74;176;1713688;302;1415556;2347;221807
2017;3;1;5;13606;2495;794;756;30.3;1.72;43;522890;69;408378;644;116806
2017;3;2;1;10543;22651;1012;7711;34.4;3.4;770;7951685;1470;6274769;5471;591657
2017;3;2;2;13374;80457;1027;24023;NULL;NULL;2448;29492070;2599;17126147;18976;2034534
2017;3;2;3;16992;94601;1092;27255;NULL;NULL;2409;33856833;2483;24185682;22363;2314730
2017;3;2;4;20558;75377;1164;20178;NULL;NULL;1479;22912002;1767;21649669;16932;1668175
2017;3;2;5;23655;47776;1205;13203;27.64;1.48;705;12970956;1081;16359561;11417;1246035
2017;2;1;1;39100;7142;2081;2455;34.37;NULL;30;945480;563;6860329;1862;905481
2017;2;1;2;45683;56647;1812;20290;35.82;NULL;491;19374105;3982;62833770;15817;9544040
2017;2;1;3;51469;79652;1820;28225;35.44;NULL;633;26708325;5466;79244565;22126;10953843
2017;2;1;4;51254;65350;1834;23931;36.62;NULL;462;19878060;4595;68133201;18874;9015102
2017;2;1;5;49180;72568;1723;29986;41.32;NULL;345;13773009;5013;69371742;24628;10130951
2017;2;2;1;45362;7909;2663;2950;37.3;1.2;81;3164814;711;14738379;2158;2151322
2017;2;2;2;51629;69225;2248;25698;37.12;1.21;837;38517611;5686;110378439;19175;16552021
2017;2;2;3;58366;98886;2168;35850;NULL;NULL;1049;51153678;7071;134665859;27730;18902586
2017;2;2;4;59943;83210;2152;27425;32.96;NULL;630;28461053;5554;97562880;21241;14907970
2017;2;2;5;59695;128997;2038;44490;34.49;NULL;738;33761768;8468;136024435;35284;20555740
2017;1;1;1;30111;145527;1364;48881;NULL;NULL;1136;26962453;13325;83124587;34420;13489834
2017;1;1;2;32365;1102861;1188;379296;NULL;NULL;10052;254689810;81490;518325587;287754;125253793
2017;1;1;3;33387;1323164;1149;455393;NULL;NULL;12221;318470908;94125;597300592;349047;132133922
2017;1;1;4;33384;1086656;1144;392486;NULL;NULL;9599;251928996;80187;514677160;302700;107097516
2017;1;1;5;32900;1191881;1079;476879;NULL;NULL;8435;222724306;83157;514415796;385287;110555208
2017;1;2;1;29282;138113;1537;52685;NULL;NULL;1600;38202518;14873;107489334;36212;18150564
2017;1;2;2;32021;926448;1331;343516;NULL;NULL;11070;290739955;74496;541825850;257950;152282643
2017;1;2;3;32844;1151792;1239;393463;NULL;NULL;12465;342782581;85028;606834190;295970;142610178
2017;1;2;4;33026;1115214;1199;351192;NULL;NULL;10139;277899125;78825;559925212;262228;122972037
2017;1;2;5;32857;1821692;1116;584667;NULL;NULL;12842;361686122;117153;800059269;454672;181238465
2017;4;1;1;61010;5463;2898;1900;34.78;NULL;47;2902938;536;7916694;1317;610506
2017;4;1;2;67696;104294;2307;31781;30.47;NULL;964;53065792;7357;105351738;23460;12741787
2017;4;1;3;70811;224656;2236;76122;NULL;NULL;1940;112019301;15267;214767836;58915;29601319
2017;4;1;4;69469;190288;2188;65157;NULL;NULL;1515;86007009;13255;171478029;50387;23770841
2017;4;1;5;66764;163404;2066;57589;NULL;NULL;1228;67282431;12104;147927463;44257;19529349
2017;4;2;1;46544;9224;2542;3150;34.15;1.4;129;5272065;1089;14508701;1932;1309354
